iter	MultiClass
0	1.327349331
1	1.280444672
2	1.242440731
3	1.209377076
4	1.182198771
5	1.15789914
6	1.13882703
7	1.120065734
8	1.106435256
9	1.09328518
10	1.07881695
11	1.067920422
12	1.058630004
13	1.049183319
14	1.042212264
15	1.035937957
16	1.027935571
17	1.019868487
18	1.014019234
19	1.007086097
20	1.002668339
21	0.9968281936
22	0.9915673175
23	0.9877533082
24	0.9837597768
25	0.981222498
26	0.9752233981
27	0.9717653631
28	0.968196404
29	0.9643237409
30	0.9603611086
31	0.9574102273
32	0.9537581168
33	0.9508884149
34	0.9471354168
35	0.9441934786
36	0.9416244501
37	0.9387793123
38	0.9359968845
39	0.9344511315
40	0.93224368
41	0.9294956083
42	0.9273440611
43	0.9244694148
44	0.9220863761
45	0.9189972941
46	0.9175278929
47	0.9134533154
48	0.9111070404
49	0.908927442
50	0.9070042103
51	0.9048226262
52	0.9030325417
53	0.9008732659
54	0.8993452038
55	0.8978485573
56	0.8962552063
57	0.8946810725
58	0.8928851576
59	0.8916268244
60	0.8897677214
61	0.8887346549
62	0.8876205773
63	0.8859252832
64	0.8844344223
65	0.8822383939
66	0.8807903265
67	0.8792418636
68	0.8770392903
69	0.8751755137
70	0.8740258661
71	0.8729466284
72	0.8718149559
73	0.869241516
74	0.8683842511
75	0.8671617959
76	0.8655851847
77	0.8640756702
78	0.863057258
79	0.8614369531
80	0.8603790888
81	0.8592236593
82	0.8581574282
83	0.8571668065
84	0.8560369191
85	0.8547265818
86	0.8541091614
87	0.8526435813
88	0.8519006641
89	0.8512104891
90	0.8503385609
91	0.8492957268
92	0.84818446
93	0.847114278
94	0.8463885032
95	0.84508838
96	0.8443590488
97	0.8436871606
98	0.8424726893
99	0.8414395842
100	0.8396790136
101	0.8390114226
102	0.8382256937
103	0.8367703686
104	0.8357485427
105	0.8348923706
106	0.8337403506
107	0.8331164357
108	0.8319405287
109	0.8304822676
110	0.8294245358
111	0.8287576104
112	0.8276028495
113	0.8264106939
114	0.8256107569
115	0.8246650547
116	0.823659154
