iter	Passed	Remaining
0	147	147679
1	300	149821
2	490	163140
3	641	159676
4	800	159256
5	941	156031
6	1101	156191
7	1249	154886
8	1409	155168
9	1554	153912
10	1699	152764
11	1824	150202
12	1998	151762
13	2140	150779
14	2303	151293
15	2447	150496
16	2589	149759
17	2722	148518
18	2855	147453
19	2980	146053
20	3101	144575
21	3259	144889
22	3410	144889
23	3524	143341
24	3654	142524
25	3788	141907
26	3936	141851
27	4080	141660
28	4231	141679
29	4357	140890
30	4501	140708
31	4633	140162
32	4780	140080
33	4912	139569
34	5061	139558
35	5204	139363
36	5346	139162
37	5466	138391
38	5613	138331
39	5763	138326
40	5906	138158
41	6027	137479
42	6171	137341
43	6288	136635
44	6431	136488
45	6554	135936
46	6684	135537
47	6811	135088
48	6953	134961
49	7078	134496
50	7213	134233
51	7341	133841
52	7484	133723
53	7623	133550
54	7770	133503
55	7890	133013
56	8028	132818
57	8151	132389
58	8295	132311
59	8439	132213
60	8579	132066
61	8703	131669
62	8832	131364
63	8960	131042
64	9089	130750
65	9227	130581
66	9381	130636
67	9499	130200
68	9630	129940
69	9742	129437
70	9864	129076
71	9992	128787
72	10113	128426
73	10287	128726
74	10474	129186
75	10599	128863
76	10735	128684
77	10856	128326
78	10975	127956
79	11098	127627
80	11232	127443
81	11360	127180
82	11494	126996
83	11610	126605
84	11728	126256
85	11876	126226
86	12010	126038
87	12129	125701
88	12255	125449
89	12376	125139
90	12524	125104
91	12661	124967
92	12823	125063
93	12945	124771
94	13105	124849
95	13242	124695
96	13396	124714
97	13514	124384
98	13640	124143
99	13780	124024
100	13946	124134
101	14075	123916
102	14224	123874
103	14350	123630
104	14482	123449
105	14609	123216
106	14742	123041
107	14873	122844
108	15010	122701
109	15132	122437
110	15261	122233
111	15395	122063
112	15544	122021
113	15661	121720
114	15781	121446
115	15903	121196
116	16040	121058
117	16202	121103
118	16349	121044
119	16482	120868
120	16630	120812
121	16756	120590
122	16908	120555
123	17026	120286
124	17151	120057
125	17356	120393
126	17483	120184
127	17609	119966
128	17736	119755
129	17861	119534
130	18031	119613
131	18178	119539
132	18311	119371
133	18458	119291
134	18634	119400
135	18784	119336
136	18917	119165
137	19042	118946
138	19167	118730
139	19291	118501
140	19419	118304
141	19546	118107
142	19674	117911
143	19789	117636
144	19916	117441
145	20065	117370
146	20219	117328
147	20344	117120
148	20489	117026
149	20625	116876
150	20770	116781
151	20891	116554
152	21123	116938
153	21248	116731
154	21375	116533
155	21509	116371
156	21647	116232
157	21762	115975
158	21879	115729
159	22049	115759
160	22181	115590
161	22303	115374
162	22440	115233
163	22580	115103
164	22705	114903
165	22821	114658
166	22959	114525
167	23100	114404
168	23238	114265
169	23356	114033
170	23496	113908
171	23621	113710
172	23750	113537
173	23873	113328
174	24003	113157
175	24139	113015
176	24273	112863
177	24389	112631
178	24509	112417
179	24625	112181
180	24753	112004
181	24923	112021
182	25146	112265
183	25354	112443
184	25492	112306
185	25637	112198
186	25783	112095
187	25908	111903
188	26033	111711
189	26155	111506
190	26285	111335
191	26423	111198
192	26570	111099
193	26706	110954
194	26911	111098
195	27116	111233
196	27260	111117
197	27380	110904
198	27499	110688
199	27625	110501
200	27748	110302
201	27896	110204
202	28053	110142
203	28191	110002
204	28338	109898
205	28453	109668
206	28573	109461
207	28703	109292
208	28829	109110
209	28981	109026
210	29118	108883
211	29230	108649
212	29362	108488
213	29481	108283
214	29609	108109
215	29729	107905
216	29860	107746
217	29983	107556
218	30120	107415
219	30243	107227
220	30370	107051
221	30492	106859
222	30620	106689
223	30747	106518
224	30871	106335
225	30985	106117
226	31101	105909
227	31239	105775
228	31381	105656
229	31497	105448
230	31621	105268
231	31777	105196
232	32029	105436
233	32158	105270
234	32284	105095
235	32449	105049
236	32628	105044
237	32746	104844
238	32875	104677
239	32986	104456
240	33111	104280
241	33231	104089
242	33369	103952
243	33487	103755
244	33615	103589
245	33734	103396
246	33853	103205
247	33977	103028
248	34107	102871
249	34231	102693
250	34361	102538
251	34504	102417
252	34698	102450
253	34822	102275
254	34953	102119
255	35084	101965
256	35211	101797
257	35330	101608
258	35456	101440
259	35588	101291
260	35705	101097
261	35843	100962
262	36001	100887
263	36147	100775
264	36278	100620
265	36395	100429
266	36553	100350
267	36703	100249
268	36837	100104
269	36965	99942
270	37148	99930
271	37277	99772
272	37417	99642
273	37547	99488
274	37711	99420
275	37844	99272
276	37966	99096
277	38082	98904
278	38202	98723
279	38327	98555
280	38453	98391
281	38570	98204
282	38689	98022
283	38813	97853
284	38952	97721
285	39104	97623
286	39231	97462
287	39344	97267
288	39468	97099
289	39605	96966
290	39747	96842
291	39860	96646
292	39991	96497
293	40107	96311
294	40222	96124
295	40345	95957
296	40488	95836
297	40611	95669
298	40751	95540
299	40889	95408
300	41015	95248
301	41131	95065
302	41261	94915
303	41527	95077
304	41669	94951
305	41802	94806
306	41933	94658
307	42075	94533
308	42204	94380
309	42343	94249
310	42473	94096
311	42612	93966
312	42891	94141
313	43001	93947
314	43130	93790
315	43269	93659
316	43400	93509
317	43520	93336
318	43650	93183
319	43770	93012
320	43907	92876
321	44032	92715
322	44166	92572
323	44280	92388
324	44405	92227
325	44522	92049
326	44645	91885
327	44762	91709
328	44903	91581
329	45023	91410
330	45148	91252
331	45267	91080
332	45421	90980
333	45621	90969
334	45796	90909
335	45979	90864
336	46135	90765
337	46273	90630
338	46408	90489
339	46535	90333
340	46662	90176
341	46833	90106
342	46981	89991
343	47129	89874
344	47259	89724
345	47392	89579
346	47529	89443
347	47671	89315
348	47812	89185
349	47969	89086
350	48131	88995
351	48243	88812
352	48364	88644
353	48502	88510
354	48682	88451
355	48793	88266
356	48910	88093
357	49038	87939
358	49163	87781
359	49287	87622
360	49414	87467
361	49692	87580
362	49806	87401
363	49920	87223
364	50049	87071
365	50168	86903
366	50278	86720
367	50396	86550
368	50526	86402
369	50662	86263
370	50784	86101
371	50922	85966
372	51057	85826
373	51190	85683
374	51305	85508
375	51426	85345
376	51583	85243
377	51722	85108
378	51836	84934
379	51958	84774
380	52090	84629
381	52219	84481
382	52334	84308
383	52453	84144
384	52569	83974
385	52691	83815
386	52827	83677
387	52950	83520
388	53062	83345
389	53195	83202
390	53324	83055
391	53461	82920
392	53714	82963
393	53830	82794
394	53960	82647
395	54076	82479
396	54192	82312
397	54310	82147
398	54431	81987
399	54546	81820
400	54675	81672
401	54810	81534
402	55070	81581
403	55270	81537
404	55409	81403
405	55520	81229
406	55639	81066
407	55772	80925
408	55898	80772
409	56013	80605
410	56154	80474
411	56280	80322
412	56411	80178
413	56546	80038
414	56695	79920
415	56832	79784
416	56976	79658
417	57088	79486
418	57208	79326
419	57335	79178
420	57474	79044
421	57592	78883
422	57720	78735
423	57841	78577
424	58064	78558
425	58272	78517
426	58406	78377
427	58527	78219
428	58641	78052
429	58756	77886
430	58903	77763
431	59031	77614
432	59157	77465
433	59294	77329
434	59409	77163
435	59524	76999
436	59642	76839
437	59772	76693
438	59891	76536
439	60061	76441
440	60177	76279
441	60299	76125
442	60429	75979
443	60553	75828
444	60671	75669
445	60808	75533
446	60929	75377
447	61061	75236
448	61182	75081
449	61306	74929
450	61425	74773
451	61549	74621
452	61669	74466
453	61791	74313
454	61945	74198
455	62118	74105
456	62243	73956
457	62395	73839
458	62512	73680
459	62628	73520
460	62745	73362
461	62871	73213
462	62993	73062
463	63135	72932
464	63255	72777
465	63376	72624
466	63496	72470
467	63619	72319
468	63730	72155
469	63859	72011
470	63980	71858
471	64106	71711
472	64230	71563
473	64397	71462
474	64522	71314
475	64661	71182
476	64796	71045
477	64934	70911
478	65062	70767
479	65183	70615
480	65312	70472
481	65437	70324
482	65552	70166
483	65669	70011
484	65810	69881
485	65959	69759
486	66099	69628
487	66273	69533
488	66426	69415
489	66551	69268
490	66695	69140
491	66826	68999
492	66943	68844
493	67073	68702
494	67200	68557
495	67328	68414
496	67449	68264
497	67579	68122
498	67692	67963
499	67821	67821
500	67946	67674
501	68065	67522
502	68178	67365
503	68314	67229
504	68430	67075
505	68554	66929
506	68669	66773
507	68872	66702
508	69011	66570
509	69165	66453
510	69274	66292
511	69393	66141
512	69505	65983
513	69625	65833
514	69744	65681
515	70003	65661
516	70182	65567
517	70330	65443
518	70444	65286
519	70561	65133
520	70673	64976
521	70799	64831
522	70912	64675
523	71033	64526
524	71157	64380
525	71292	64244
526	71427	64108
527	71545	63957
528	71657	63800
529	71777	63651
530	71895	63501
531	72028	63363
532	72147	63213
533	72311	63103
534	72449	62969
535	72597	62845
536	72709	62689
537	72823	62535
538	72942	62387
539	73069	62244
540	73184	62091
541	73313	61951
542	73426	61797
543	73547	61649
544	73660	61496
545	73778	61346
546	73893	61195
547	74010	61045
548	74128	60896
549	74318	60805
550	74452	60669
551	74566	60517
552	74705	60385
553	74843	60252
554	74969	60110
555	75098	59970
556	75221	59825
557	75348	59684
558	75462	59533
559	75599	59399
560	75727	59259
561	75851	59115
562	75966	58965
563	76081	58814
564	76197	58665
565	76330	58529
566	76445	58379
567	76585	58248
568	76707	58103
569	76839	57966
570	76968	57827
571	77102	57692
572	77227	57549
573	77352	57408
574	77477	57265
575	77601	57122
576	77716	56973
